MapName,MonsterId,X,Y,SpawnerId,SpawnId,SpawnCount,RespawnSeconds,Enabled,#Note
SixPathCrossway,120100,-15.82,-3.75,SixPathCrossway_SP001,SixPathCrossway_SP001_M120100,1,10,true,원본 1번자리
SixPathCrossway,120100,-14.38,-3.74,SixPathCrossway_SP002,SixPathCrossway_SP002_M120100,1,10,true,원본 2번자리
SixPathCrossway,120100,-12.36,-3.72,SixPathCrossway_SP003,SixPathCrossway_SP003_M120100,1,10,true,원본 3번자리
SixPathCrossway,120100,-10.17,-3.75,SixPathCrossway_SP004,SixPathCrossway_SP004_M120100,1,10,true,원본 4번자리
SixPathCrossway,120100,-8.28,-3.8,SixPathCrossway_SP005,SixPathCrossway_SP005_M120100,1,10,true,원본 5번자리
SixPathCrossway,120100,-3.39,-3.73,SixPathCrossway_SP006,SixPathCrossway_SP006_M120100,1,10,true,원본 6번자리
SixPathCrossway,120100,-2.45,-3.79,SixPathCrossway_SP007,SixPathCrossway_SP007_M120100,1,10,true,원본 7번자리
SixPathCrossway,120100,-0.83,-3.75,SixPathCrossway_SP008,SixPathCrossway_SP008_M120100,1,10,true,원본 8번자리
SixPathCrossway,120100,0.68,-3.76,SixPathCrossway_SP009,SixPathCrossway_SP009_M120100,1,10,true,원본 9번자리
SixPathCrossway,120100,1.21,-3.76,SixPathCrossway_SP010,SixPathCrossway_SP010_M120100,1,10,true,원본 10번자리
SixPathCrossway,120100,2.56,-3.74,SixPathCrossway_SP011,SixPathCrossway_SP011_M120100,1,10,true,원본 11번자리
SixPathCrossway,120100,5.52,-3.76,SixPathCrossway_SP012,SixPathCrossway_SP012_M120100,1,10,true,원본 12번자리
SixPathCrossway,120100,6.6,-3.76,SixPathCrossway_SP013,SixPathCrossway_SP013_M120100,1,10,true,원본 13번자리
KerningCity_Hunt_ConstructionSite,1120100,5.45,0.68,AbandonedConstructionSite_SP001,AbandonedConstructionSite_SP001_M1120100,1,10,true,원본 monster-2302_1
KerningCity_Hunt_ConstructionSite,1120100,6.04,7.14,AbandonedConstructionSite_SP002,AbandonedConstructionSite_SP002_M1120100,1,10,true,원본 monster-2302
KerningCity_Hunt_ConstructionSite,1120100,7.99,7.1,AbandonedConstructionSite_SP003,AbandonedConstructionSite_SP003_M1120100,1,10,true,원본 monster-2302_2
KerningCity_Hunt_ConstructionSite,1120100,8.89,1.18,AbandonedConstructionSite_SP004,AbandonedConstructionSite_SP004_M1120100,1,10,true,원본 monster-2302_9
KerningCity_Hunt_ConstructionSite,1120100,10.04,7.09,AbandonedConstructionSite_SP005,AbandonedConstructionSite_SP005_M1120100,1,10,true,원본 monster-2302_3
KerningCity_Hunt_ConstructionSite,1120100,11.1,4.54,AbandonedConstructionSite_SP006,AbandonedConstructionSite_SP006_M1120100,1,10,true,원본 monster-2302_8
KerningCity_Hunt_ConstructionSite,1120100,11.9,7.18,AbandonedConstructionSite_SP007,AbandonedConstructionSite_SP007_M1120100,1,10,true,원본 monster-2302_4
KerningCity_Hunt_ConstructionSite,1120100,12.53,6.1,AbandonedConstructionSite_SP008,AbandonedConstructionSite_SP008_M1120100,1,10,true,원본 monster-2302_7
KerningCity_Hunt_ConstructionSite,1120100,13.59,7.15,AbandonedConstructionSite_SP009,AbandonedConstructionSite_SP009_M1120100,1,10,true,원본 monster-2302_5
KerningCity_Hunt_ConstructionSite,1120100,15.59,5.33,AbandonedConstructionSite_SP010,AbandonedConstructionSite_SP010_M1120100,1,10,true,원본 monster-2302_6
KerningCity_Hunt_ConstructionSite,1210102,-3.05,-1.09,AbandonedConstructionSite_SP011,AbandonedConstructionSite_SP011_M1210102,1,10,true,원본 monster-2218
KerningCity_Hunt_ConstructionSite,1210102,1.53,-0.72,AbandonedConstructionSite_SP012,AbandonedConstructionSite_SP012_M1210102,1,10,true,원본 monster-2218_1
KerningCity_Hunt_ConstructionSite,1210102,5.48,-0.41,AbandonedConstructionSite_SP013,AbandonedConstructionSite_SP013_M1210102,1,10,true,원본 monster-2218_2
KerningCity_Hunt_ConstructionSite,1210102,9.51,-0.33,AbandonedConstructionSite_SP014,AbandonedConstructionSite_SP014_M1210102,1,10,true,원본 monster-2218_3
KerningCity_Hunt_ConstructionSite,1210102,12.04,2.43,AbandonedConstructionSite_SP015,AbandonedConstructionSite_SP015_M1210102,1,10,true,원본 monster-2218_7
KerningCity_Hunt_ConstructionSite,1210102,13.65,0.16,AbandonedConstructionSite_SP016,AbandonedConstructionSite_SP016_M1210102,1,10,true,원본 monster-2218_4
KerningCity_Hunt_ConstructionSite,1210102,17.19,2.59,AbandonedConstructionSite_SP017,AbandonedConstructionSite_SP017_M1210102,1,10,true,원본 monster-2218_6
