MapName,BaseMonsterId,EliteId,Chance,Enabled,KillsPerElite,#Note
Ellinia_Hunt_GiantTree,,,0,true,25,엘리니아 사냥터 · 죽은 몹의 E<Id> 자이언트 · 누적 25마리째마다 1마리(★5 2마리 · DifficultyRule.ELITE_COUNT) · Chance 는 안 읽음 (B7)
Ellinia_Hunt_GreenTreeTrunk,,,0,true,25,엘리니아 사냥터 · 죽은 몹의 E<Id> 자이언트 · 누적 25마리째마다 1마리(★5 2마리 · DifficultyRule.ELITE_COUNT) · Chance 는 안 읽음 (B7)
Ellinia_Hunt_TreeTrunkNest2,,,0,true,25,엘리니아 사냥터 · 죽은 몹의 E<Id> 자이언트 · 누적 25마리째마다 1마리(★5 2마리 · DifficultyRule.ELITE_COUNT) · Chance 는 안 읽음 (B7)
Henesys_Hunt_BlueMushroomTrail,,,0,true,25,헤네시스 사냥터 · 죽은 몹의 E<Id> 자이언트 · 누적 25마리째마다 1마리(★5 2마리 · DifficultyRule.ELITE_COUNT) · Chance 는 안 읽음 (B7)
Henesys_Hunt_GolemsTemple,,,0,true,25,헤네시스 사냥터 · 죽은 몹의 E<Id> 자이언트 · 누적 25마리째마다 1마리(★5 2마리 · DifficultyRule.ELITE_COUNT) · Chance 는 안 읽음 (B7)
Henesys_Hunt_HillNorth,,,0,true,25,헤네시스 사냥터 · 죽은 몹의 E<Id> 자이언트 · 누적 25마리째마다 1마리(★5 2마리 · DifficultyRule.ELITE_COUNT) · Chance 는 안 읽음 (B7)
KerningCity_Hunt_ConstructionSite,,,0,true,25,커닝시티 사냥터 · 죽은 몹의 E<Id> 자이언트 · 누적 25마리째마다 1마리(★5 2마리 · DifficultyRule.ELITE_COUNT) · Chance 는 안 읽음 (B7)
KerningCity_Hunt_SewerApproach,,,0,true,25,커닝시티 사냥터 · 죽은 몹의 E<Id> 자이언트 · 누적 25마리째마다 1마리(★5 2마리 · DifficultyRule.ELITE_COUNT) · Chance 는 안 읽음 (B7)
KerningCity_Hunt_SubwayLine1,,,0,true,25,커닝시티 사냥터 · 죽은 몹의 E<Id> 자이언트 · 누적 25마리째마다 1마리(★5 2마리 · DifficultyRule.ELITE_COUNT) · Chance 는 안 읽음 (B7)
Nautilus_Hunt_PigPasture,,,0,true,25,노틸러스 사냥터 · 죽은 몹의 E<Id> 자이언트 · 누적 25마리째마다 1마리(★5 2마리 · DifficultyRule.ELITE_COUNT) · Chance 는 안 읽음 (B7)
Nautilus_Hunt_RibbonPigBeach,,,0,true,25,노틸러스 사냥터 · 죽은 몹의 E<Id> 자이언트 · 누적 25마리째마다 1마리(★5 2마리 · DifficultyRule.ELITE_COUNT) · Chance 는 안 읽음 (B7)
Nautilus_Hunt_WayToBeach,,,0,true,25,노틸러스 사냥터 · 죽은 몹의 E<Id> 자이언트 · 누적 25마리째마다 1마리(★5 2마리 · DifficultyRule.ELITE_COUNT) · Chance 는 안 읽음 (B7)
Perion_Hunt_NorthernRidge,,,0,true,25,페리온 사냥터 · 죽은 몹의 E<Id> 자이언트 · 누적 25마리째마다 1마리(★5 2마리 · DifficultyRule.ELITE_COUNT) · Chance 는 안 읽음 (B7)
Perion_Hunt_SouthernRidge,,,0,true,25,페리온 사냥터 · 죽은 몹의 E<Id> 자이언트 · 누적 25마리째마다 1마리(★5 2마리 · DifficultyRule.ELITE_COUNT) · Chance 는 안 읽음 (B7)
Perion_Hunt_WildBoarLand,,,0,true,25,페리온 사냥터 · 죽은 몹의 E<Id> 자이언트 · 누적 25마리째마다 1마리(★5 2마리 · DifficultyRule.ELITE_COUNT) · Chance 는 안 읽음 (B7)
