MonsterId,Tier,MaterialItemId,MaterialCount,BundleSize,GuardHp,GuardAttack,Enabled,#Note
1210102,1,MAT_1210102,8,5,500,150,true,HENESYS 사냥터1 주황버섯(Lv10) · 개체 = 대응 페이즈 첫 웨이브 미니언 ×0.5 · 훈련 StatMul 위에 곱함 · 페이즈 갱신 없음 (WO-027 §7-1 · 2026-09-23 B5)
2220100,2,MAT_2220100,8,5,1600,315,true,HENESYS 사냥터2 파란버섯(Lv17) · 개체 = 대응 페이즈 첫 웨이브 미니언 ×0.5 · 훈련 StatMul 위에 곱함 · 페이즈 갱신 없음 (WO-027 §7-1 · 2026-09-23 B5)
5130102,3,MAT_5130102,8,5,2500,1850,true,HENESYS 사냥터3 다크 스톤골렘(Lv24) · 개체 = 대응 페이즈 첫 웨이브 미니언 ×0.5 · 훈련 StatMul 위에 곱함 · 페이즈 갱신 없음 (WO-027 §7-1 · 2026-09-23 B5)
2230100,1,MAT_2230100,8,5,500,150,true,ELLINIA 사냥터1 이블아이(Lv10) · 개체 = 대응 페이즈 첫 웨이브 미니언 ×0.5 · 훈련 StatMul 위에 곱함 · 페이즈 갱신 없음 (WO-027 §7-1 · 2026-09-23 B5)
3230100,2,MAT_3230100,8,5,1600,315,true,ELLINIA 사냥터2 커즈아이(Lv17) · 개체 = 대응 페이즈 첫 웨이브 미니언 ×0.5 · 훈련 StatMul 위에 곱함 · 페이즈 갱신 없음 (WO-027 §7-1 · 2026-09-23 B5)
4230100,3,MAT_4230100,8,5,2500,1850,true,ELLINIA 사냥터3 콜드아이(Lv24) · 개체 = 대응 페이즈 첫 웨이브 미니언 ×0.5 · 훈련 StatMul 위에 곱함 · 페이즈 갱신 없음 (WO-027 §7-1 · 2026-09-23 B5)
1120100,1,MAT_1120100,8,5,500,150,true,KERNING 사냥터1 옥토퍼스(Lv10) · 개체 = 대응 페이즈 첫 웨이브 미니언 ×0.5 · 훈련 StatMul 위에 곱함 · 페이즈 갱신 없음 (WO-027 §7-1 · 2026-09-23 B5)
2130103,2,MAT_2130103,8,5,1600,315,true,KERNING 사냥터2 주니어 네키(Lv17) · 개체 = 대응 페이즈 첫 웨이브 미니언 ×0.5 · 훈련 StatMul 위에 곱함 · 페이즈 갱신 없음 (WO-027 §7-1 · 2026-09-23 B5)
3230300,1,MAT_3230300,8,5,500,150,true,PERION 사냥터1 주니어 부기(Lv10) · 개체 = 대응 페이즈 첫 웨이브 미니언 ×0.5 · 훈련 StatMul 위에 곱함 · 페이즈 갱신 없음 (WO-027 §7-1 · 2026-09-23 B5)
130100,2,MAT_130100,8,5,1600,315,true,PERION 사냥터2 스텀프(Lv17) · 개체 = 대응 페이즈 첫 웨이브 미니언 ×0.5 · 훈련 StatMul 위에 곱함 · 페이즈 갱신 없음 (WO-027 §7-1 · 2026-09-23 B5)
2230102,3,MAT_2230102,8,5,2500,1850,true,PERION 사냥터3 와일드보어(Lv24) · 개체 = 대응 페이즈 첫 웨이브 미니언 ×0.5 · 훈련 StatMul 위에 곱함 · 페이즈 갱신 없음 (WO-027 §7-1 · 2026-09-23 B5)
1210100,1,MAT_1210100,8,5,500,150,true,NAUTILUS 사냥터1 돼지(Lv10) · 개체 = 대응 페이즈 첫 웨이브 미니언 ×0.5 · 훈련 StatMul 위에 곱함 · 페이즈 갱신 없음 (WO-027 §7-1 · 2026-09-23 B5)
1210101,2,MAT_1210101,8,5,1600,315,true,NAUTILUS 사냥터2 리본 돼지(Lv17) · 개체 = 대응 페이즈 첫 웨이브 미니언 ×0.5 · 훈련 StatMul 위에 곱함 · 페이즈 갱신 없음 (WO-027 §7-1 · 2026-09-23 B5)
1210104,3,MAT_1210104,8,5,2500,1850,true,NAUTILUS 사냥터3 파란 리본돼지(Lv24) · 개체 = 대응 페이즈 첫 웨이브 미니언 ×0.5 · 훈련 StatMul 위에 곱함 · 페이즈 갱신 없음 (WO-027 §7-1 · 2026-09-23 B5)
